libehca,unmapped,
gstreamer-python,SBR-Desktop,,
gthumb,SBR-Desktop,,
gtk+extra,SBR-Desktop,,
gtk-doc,SBR-Desktop,,
gtk2,SBR-Desktop,,
gtk2-engines,SBR-Desktop,,
gtkhtml2,SBR-Desktop,,
gtkhtml3,SBR-Desktop,,
gtkmm24,SBR-Desktop,,
gtksourceview2,SBR-Desktop,,
gtkspell,SBR-Desktop,,
gucharmap,SBR-Desktop,,
guile,SBR-Tools,,
gupnp,(Mapped) SBR-Desktop,(Mapped) SBR-Tools
gutenprint,SBR-Services,,
gvfs,SBR-Desktop,,
gzip,SBR-Shells,,
hal,SBR-Desktop,,
hamcrest,unmapped,
hardlink,unmapped,
hdparm,SBR-Shells,,
hesinfo,SBR-Services,,
hesiod,SBR-Services,,
hicolor-icon-theme,SBR-Desktop,,
hivex,SBR-Shells,,
hmaccalc,SBR-Shells,,
hplip,SBR-Services,,
hsqldb,SBR-Tools,,
htdig,SBR-Services,,
httpd,SBR-Webservers,,
hunspell,SBR-Desktop,,
hunspell-af,SBR-Desktop,,
hunspell-ar,SBR-Desktop,,
hunspell-as,SBR-Desktop,,
hunspell-az,SBR-Desktop,,
hunspell-be,SBR-Desktop,,
hunspell-ber,SBR-Desktop,,
hunspell-bg,SBR-Desktop,,
hunspell-bn,SBR-Desktop,,
hunspell-br,SBR-Desktop,,
hunspell-ca,SBR-Desktop,,
hunspell-cop,SBR-Desktop,,
hunspell-csb,SBR-Desktop,,
hunspell-cy,SBR-Desktop,,
hunspell-da,SBR-Desktop,,
hunspell-de,SBR-Desktop,,
hunspell-el,SBR-Desktop,,
hunspell-en,SBR-Desktop,,
hunspell-eo,SBR-Desktop,,
hunspell-es,SBR-Desktop,,
hunspell-et,SBR-Desktop,,
hunspell-eu,SBR-Desktop,,
hunspell-fa,SBR-Desktop,,
hunspell-fj,SBR-Desktop,,
hunspell-fo,SBR-Desktop,,
hunspell-fr,SBR-Desktop,,
hunspell-fur,SBR-Desktop,,
hunspell-fy,SBR-Desktop,,
hunspell-ga,SBR-Desktop,,
hunspell-gd,SBR-Desktop,,
hunspell-gl,SBR-Desktop,,
hunspell-gv,SBR-Desktop,,
hunspell-hil,SBR-Desktop,,
hunspell-hr,SBR-Desktop,,
hunspell-hsb,SBR-Desktop,,
hunspell-hu,SBR-Desktop,,
hunspell-hy,SBR-Desktop,,
hunspell-ia,SBR-Desktop,,
hunspell-id,SBR-Desktop,,
hunspell-is,SBR-Desktop,,
hunspell-it,SBR-Desktop,,
hunspell-kk,SBR-Desktop,,
hunspell-km,SBR-Desktop,,
hunspell-kn,SBR-Desktop,,
hunspell-ko,SBR-Desktop,,
hunspell-ku,SBR-Desktop,,
hunspell-la,SBR-Desktop,,
hunspell-lt,SBR-Desktop,,
hunspell-mai,SBR-Desktop,,
hunspell-mg,SBR-Desktop,,
hunspell-mi,SBR-Desktop,,
hunspell-mk,SBR-Desktop,,
hunspell-ml,SBR-Desktop,,
hunspell-mn,SBR-Desktop,,
hunspell-ms,SBR-Desktop,,
hunspell-mt,SBR-Desktop,,
hunspell-nds,SBR-Desktop,,
hunspell-nl,SBR-Desktop,,
hunspell-nr,SBR-Desktop,,
hunspell-nso,SBR-Desktop,,
hunspell-ny,SBR-Desktop,,
hunspell-oc,SBR-Desktop,,
hunspell-or,SBR-Desktop,,
hunspell-pl,SBR-Desktop,,
hunspell-pt,SBR-Desktop,,
hunspell-ro,SBR-Desktop,,
hunspell-ru,SBR-Desktop,,
hunspell-rw,SBR-Desktop,,
hunspell-sc,SBR-Desktop,,
hunspell-si,SBR-Desktop,,
hunspell-sk,SBR-Desktop,,
hunspell-sl,SBR-Desktop,,
hunspell-so,SBR-Desktop,,
hunspell-sq,SBR-Desktop,,
hunspell-sr,SBR-Desktop,,
hunspell-ss,SBR-Desktop,,
hunspell-st,SBR-Desktop,,
hunspell-sv,SBR-Desktop,,
hunspell-sw,SBR-Desktop,,
hunspell-te,SBR-Desktop,,
hunspell-tet,SBR-Desktop,,
hunspell-th,SBR-Desktop,,
hunspell-tk,SBR-Desktop,,
hunspell-tl,SBR-Desktop,,
hunspell-tn,SBR-Desktop,,
hunspell-ts,SBR-Desktop,,
hunspell-uk,SBR-Desktop,,
hunspell-ur,SBR-Desktop,,
hunspell-uz,SBR-Desktop,,
hunspell-ve,SBR-Desktop,,
hunspell-vi,SBR-Desktop,,
hunspell-wa,SBR-Desktop,,
hunspell-xh,SBR-Desktop,,
hunspell-zu,SBR-Desktop,,
hwdata,SBR-Lowvolume,,
hwloc,SBR-Tools,SBR-Shells,
hyphen,SBR-Desktop,,
hyphen-as,SBR-Desktop,,
hyphen-bg,SBR-Desktop,,
hyphen-bn,SBR-Desktop,,
hyphen-ca,SBR-Desktop,,
hyphen-cy,SBR-Desktop,,
hyphen-da,SBR-Desktop,,
hyphen-de,SBR-Desktop,,
hyphen-el,SBR-Desktop,,
hyphen-es,SBR-Desktop,,
hyphen-eu,SBR-Desktop,,
hyphen-fa,SBR-Desktop,,
hyphen-fr,SBR-Desktop,,
hyphen-ga,SBR-Desktop,,
hyphen-gl,SBR-Desktop,,
hyphen-gu,SBR-Desktop,,
hyphen-hi,SBR-Desktop,,
hyphen-hsb,SBR-Desktop,,
hyphen-hu,SBR-Desktop,,
hyphen-ia,SBR-Desktop,,
hyphen-id,SBR-Desktop,,
hyphen-is,SBR-Desktop,,
hyphen-it,SBR-Desktop,,
hyphen-kn,SBR-Desktop,,
hyphen-lt,SBR-Desktop,,
hyphen-mi,SBR-Desktop,,
hyphen-ml,SBR-Desktop,,
hyphen-mn,SBR-Desktop,,
hyphen-mr,SBR-Desktop,,
hyphen-nl,SBR-Desktop,,
hyphen-or,SBR-Desktop,,
hyphen-pa,SBR-Desktop,,
hyphen-pl,SBR-Desktop,,
hyphen-pt,SBR-Desktop,,
hyphen-ro,SBR-Desktop,,
hyphen-ru,SBR-Desktop,,
hyphen-sa,SBR-Desktop,,
hyphen-sk,SBR-Desktop,,
hyphen-sl,SBR-Desktop,,
hyphen-sv,SBR-Desktop,,
hyphen-ta,SBR-Desktop,,
hyphen-te,SBR-Desktop,,
hyphen-uk,SBR-Desktop,,
ibus,SBR-Desktop,,
ibus-anthy,SBR-Desktop,,
ibus-chewing,SBR-Desktop,,
ibus-hangul,SBR-Desktop,,
ibus-m17n,SBR-Desktop,,
ibus-pinyin,SBR-Desktop,,
ibus-qt,SBR-Desktop,,
ibus-rawcode,SBR-Desktop,,
ibus-sayura,SBR-Desktop,,
ibus-table,SBR-Desktop,,
ibus-table-cangjie,SBR-Desktop,,
ibus-table-erbi,SBR-Desktop,,
ibus-table-wubi,SBR-Desktop,,
ibutils,SBR-Storage,,
icedtea-web,SBR-Desktop,SBR-Middleware,
icu4j,unmapped,
im-chooser,SBR-Desktop,,
imake,SBR-Tools,,
imsettings,SBR-Desktop,,
indent,SBR-Tools,,
infiniband-diags,SBR-Storage,,
infinipath-psm,SBR-Lowvolume,,
initscripts,SBR-Shells,,
inkscape,SBR-Desktop,,
intltool,SBR-Desktop,,
iok,SBR-Desktop,,
iotop,SBR-Shells,,
ipmitool,SBR-Shells,,
iproute,SBR-Shells,,
iptables,SBR-Networking,,
iptraf,SBR-Shells,,
iptstate,SBR-Shells,,
ipvsadm,SBR-Networking,,
ipw2100-firmware,SBR-Networking,,
ipw2200-firmware,SBR-Networking,,
irqbalance,SBR-Services,SBR-Kernel,
irssi,SBR-Shells,SBR-Desktop,
iscsi-initiator-utils,SBR-Storage,,
isdn4k-utils,SBR-Shells,SBR-Services,
isns-utils,SBR-Storage,,
iso-codes,SBR-Lowvolume,,
isomd5sum,SBR-Shells,,
iw,SBR-Lowvolume,,
iwl5000-firmware,SBR-Lowvolume,,
iwl5150-firmware,SBR-Lowvolume,,
iwl6000-firmware,SBR-Lowvolume,,
jadetex,SBR-Shells,,
jakarta-commons-codec,SBR-Middleware,SBR-Webservers,
jakarta-commons-collections,SBR-Middleware,SBR-Webservers,
jakarta-commons-daemon,SBR-Middleware,SBR-Webservers,
jakarta-commons-dbcp,SBR-Middleware,SBR-Webservers,
jakarta-commons-discovery,SBR-Middleware,SBR-Webservers,
jakarta-commons-el,SBR-Middleware,SBR-Webservers,
jakarta-commons-httpclient,SBR-Middleware,SBR-Webservers,
jakarta-commons-io,SBR-Middleware,SBR-Webservers,
jakarta-commons-lang,SBR-Middleware,SBR-Webservers,
jakarta-commons-logging,SBR-Middleware,SBR-Webservers,
jakarta-commons-net,SBR-Middleware,SBR-Webservers,
jakarta-commons-pool,SBR-Middleware,SBR-Webservers,
jakarta-oro,SBR-Middleware,SBR-Webservers,
jasper,SBR-Lowvolume,,
java_cup,SBR-Tools,,
jdepend,SBR-Lowvolume,,
jdom,SBR-Lowvolume,,
jetty-eclipse,SBR-Middleware,,
jline,SBR-Lowvolume,,
jna,SBR-Lowvolume,,
jomolhari-fonts,SBR-Desktop,,
jpackage-utils,SBR-Lowvolume,,
jsch,SBR-Lowvolume,,
jss,SBR-Lowvolume,,
junit,SBR-Lowvolume,,
junit4,SBR-Lowvolume,,
jwhois,SBR-Lowvolume,,
jzlib,SBR-Lowvolume,,
k3b,SBR-Desktop,,
kabi-yum-plugins,SBR-Lowvolume,,
kasumi,SBR-Desktop,,
kbd,SBR-Shells,,
kcoloredit,SBR-Desktop,,
kde-i18n,SBR-Desktop,,
kde-l10n,SBR-Desktop,,
kde-settings,SBR-Desktop,,
kdeaccessibility,SBR-Desktop,,
kdeadmin,SBR-Desktop,,
kdeartwork,SBR-Desktop,,
kdebase,SBR-Desktop,,
kdebase-runtime,SBR-Desktop,,
kdebindings,SBR-Desktop,,
kdegraphics,SBR-Desktop,,
kdelibs,SBR-Desktop,,
kdelibs-experimental,SBR-Desktop,,
kdelibs3,SBR-Desktop,,
kdemultimedia,SBR-Desktop,,
kdenetwork,SBR-Desktop,,
kdepim,SBR-Desktop,,
kdepim-runtime,SBR-Desktop,,
kdepimlibs,SBR-Desktop,,
kdeplasma-addons,SBR-Desktop,,
kdesdk,SBR-Desktop,,
kdeutils,SBR-Desktop,,
kdewebdev,SBR-Desktop,,
kernel,SBR-Kernel,,
kexec-tools,SBR-Kernel,,
keyutils,SBR-Kernel,SBR-Shells,
kiconedit,SBR-Desktop,,
kipi-plugins,SBR-Desktop,,
kmid,SBR-Desktop,,
